community,lon,lat,org_name
HUAPILLAS MOLLAQUITAS,-70.684876126264172,-30.251960357532287,Huapi - Las Mollaquitas (040)
HUENTELAUQUEN,-71.540741266234548,-31.55874561985685,Huentelauquen (153)
HUINCHIGUALLEGO,-71.468538780079299,-31.571610992459767,Huinchigallego (155)
INGA PICHASCA,-70.845880212276541,-30.461971472338067,Inca Pichasca (054)
JARA O LAJA,-71.045447919175459,-30.840873509710892,Jara o Laja (088)
JARILLA Y AZOGUE,-71.061367839569229,-30.29943020919886,Jarilla y Azogue (029)
JIMENEZ Y TAPIA,-71.126284810967746,-31.103025870640728,Jimenez y Tapia (136)
LA CALERA,-71.409671391963784,-30.7954784066362,La Calera (069)
LA CAPILLA,-71.337414965287792,-31.573755503721692,La Capilla (169)
LA CEBADA,-71.601462504953062,-30.995029378602137,La Cebada (071)
LA CISTERNA,-70.746087103278626,-30.949228299684087,La Cisterna (123)
LA COIPA,-71.069298934726348,-30.531733763549418,La Coipa (048)
LA COLORADA DE AGUILERA Y SARMIENTO,-71.003160539385121,-31.224967643241211,La Colorada de Aguilera y Sarmiento (148)
LA HERRADURA,-71.364333795772851,-30.016716252466125,La Herradura (007)
LA HOYADA,-70.611232420559958,-30.25996397891614,La Hoyada (042)
LA LEONA,-71.353998531442869,-31.565825243089531,La Leona (167)
LA ORTIGA,-70.647335933068277,-30.78171200406064,La Ortiga (120)
LA PLATA,-70.580865204258075,-29.92123800926565,La Plata (022)
LA POLVADA,-70.848612147079024,-30.00808730489204,La Polvada (016)
LA SAUCERA,-70.94748152329727,-30.995800938854064,La Saucera (102)
LA TRANQUITA,-70.671101070828271,-30.918077676351675,La Tranquita (126)
LA VERDIONA,-71.231209889141951,-30.447407505767114,La Verdiona (031)
LAGUNA VERDE,-70.944419648310756,-30.932522127085168,Laguna Verde (097)
LAGUNILLAS GALLEGUILLOS DEL VALLE,-71.191496745844177,-30.538011944017082,Lagunillas Galleguillos del Valle (033)
LAS BARRANCAS,-71.388082081437815,-31.591977732970673,Las Barracas (166)
LAS BATEAS,-70.939627913249524,-30.955609065282172,Las Bateas (101)
LAS CARDAS,-71.0524476104586,-30.881137666081191,Las Cardas (089)
LAS DAMAS,-71.441546570428983,-30.842162804485294,Las Damas (075)
LAS MINILLAS,-70.891088162275764,-30.472386090526982,Las Minillas (052)
LAS PAREDES,-71.4156180997321,-31.580574426167097,Las Paredes (165)
LAS ROJAS DE CUTUN,-71.016144758705764,-29.943192693716593,Las Rojas Cutun (013)
LAS TAZAS,-71.328197421694,-31.500399266752861,Las Tazas (163)
LAS TRANCAS DE PUCLARO,-70.827988085065968,-29.959908971234487,Las Trancas de Puclaro (015)
LITIPAMPA,-71.243573500684832,-31.056482602481903,Litipampa (135)
LO MUÑOZ,-71.325866972378819,-32.10000657542065,Lo Muñoz (178)
LOS MAITENES DE SERON,-70.708497548122978,-30.34583036429035,Lod Maitenes de Seron (046)
LORENZO ARAYA,-71.485336067933716,-30.897164957959784,Lorenzo Araya (074)
LORENZO PERALTA DE PUNILLA,-71.594820457747815,-30.567516013839878,Lorenzo Peralta de Punilla (059)
LOS ALGODONES,-70.877694908167811,-30.026357789457219,Los Algodones (014)
LOS ANGELES,-70.782588352388601,-30.747536085366555,Los Angeles (115)
LOS CERRILLOS,-71.505031718547272,-32.110755009045405,Los Cerrillos (177)
LOS CHOROS,-71.290315953712053,-29.27440927969192,Los Choros (001)
LOS CLONQUIS,-70.700485406053872,-30.792323085777038,Los Clonquis (119)
LOS HOYOS Y EL EMPEDRADO,-70.556368624890666,-31.071380028657678,Los Hoyos y El Empedrado (132)
LOS LAVADEROS,-70.578905712114889,-30.304038159566275,Los Lavaderos (043)
LOS MAITENES,-70.925943403696508,-30.383200980738003,Los Maitenes (035)
LOS MORALES,-71.052975249928508,-30.916197679172523,Los Morales (090)
LOS MOZOS,-70.846174069462606,-31.007471869663803,Los Mozos (105)
LOS POZOS,-71.473223110821593,-30.849178053047705,Los Pozos (072)
LOS TAPIAS,-70.974213519717637,-30.878250420911598,Los Tapias (093)
LOS TOMES,-71.510584484446611,-31.481887267186892,Los Tomes (152)
LOS TRIGOS,-71.429997490633284,-30.877647547328067,Los Trigos (077)
EL MACANO,-70.771706942855971,-31.031786917374564,Macano (129)
MAJADA BLANCA,-71.308828136844838,-30.051130282280802,Majada Blanca (009)
MANQUEHUA,-71.157660172784247,-30.948926707444365,Manquehua (086)
MAQUI LOS PALQUIS,-70.557081851119719,-31.020608599976683,Maqui Los Palquis (131)
MIALQUI,-70.870413088750922,-30.767151604180079,Mialqui (098)
MINCHA NORTE,-71.444842482270857,-31.581883759778648,Mincha Norte (160)
MINCHA SUR,-71.440693029111998,-31.612644375201938,Mincha Sur (172)
MONTE PATRIA,-70.938922916426677,-30.634870895348037,Monte Patria (081)
MOVILO,-71.002192493129215,-31.115058143482791,Movilo (138)
OLLA DE CALDERA,-70.849559744484495,-29.637537461446019,Olla de Caldera (004)
ORURO,-71.523973157722594,-30.647290005591397,Oruro (062)
PEJERREYES,-70.606515065046452,-31.030443486257674,Pejerreyes (130)
PEÑABLANCA,-71.563829843519116,-30.914875522142825,Penablanca (070)
PIEDRA LISA,-70.785483532349929,-30.960204604741197,Piedra Lisa (110)
PIEDRA LISA O MINA NEGRA,-70.887257470272445,-30.908688919502524,Piedra Lisa o Mina Negra (100)
PIEDRAS BLANCAS,-70.734561772709995,-30.277669266002217,Piedras Blancas (039)
POTRERILLO ALTO,-71.199361599733365,-30.724314997293281,Potrerillos Alto (083)
EL POTRERO ALTO,-70.366909516269843,-29.796325071659361,Potrero Alto (006)
PULPICA ALTO,-70.800127774015252,-30.899263208996135,Pulpica Alto (107)
PULPICA BAJO,-70.780059187678631,-30.858059222364076,Pulpica Bajo (117)
PUNITAQUI,-71.261140484344367,-30.873200647586323,Punitaqui (080)
QUEBRADA DE COLLIGUACITO,-70.696044873909784,-30.892732757379569,Quebrada de Colliguaycito
QUEBRADA DE PAIHUANO Y SAN ANDRES,-70.323416870163072,-30.079420215062498,Quebrada de Paihuano y San Andres (025)
QUEBRADA DE TALCA,-71.069129531299396,-30.078402659733655,Quebrada de Talca (012)
QUEBRADA DE TULAHUEN,-70.709753361920463,-30.970623343947754,Quebrada de Tulahuen (124)
QUEBRADA HONDA,-71.200721173709411,-29.603042036777111,Quebrada Honda (002)
QUEBRADA LA ARENA,-70.751255296631896,-30.897708590033943,Quebrada la Arena (121)
QUEBRADA LAS MINILLAS,-70.655320848492735,-30.882591097532163,Quebrada las Minillas (127)
QUEBRADA LAS MOLLACAS,-70.727084361369165,-30.923139614097231,Quebrada las Mollacas (122)
QUEBRADA LOS LOROS,-70.648804847613093,-30.080923674358026,Quebrada Los Loros (020)
QUITALLACO,-71.290028434555367,-30.162482492166415,Quitallaco (010)
RAMADILLA,-70.615732016850629,-30.890847999323409,Ramadilla (128)
RAPEL,-70.741950589385581,-30.733955241911332,Rapel (116)
RAPELCILLO,-70.828608562697411,-30.960981498312194,Rapelcillo (106)
